id,Kanji,Strokes,Grade,JLPT-test,"Name of Radical","Reading within Joyo","Reading beyond Joyo"
1074,迅,6,7,1,Shinnyoo,ジン,
1075,甚,9,7,1,Amai,ジン、はなは-だ、はなは-だしい,
1076,陣,10,7,1,Kozatohen,ジン,
1077,尋,12,7,1,Sun,ジン、たず-ねる,ひろ
1078,腎,13,7,0,"Niku, Nikuzuki",ジン,
1079,須,12,7,1,Oogai,ス,シュ
1080,図,7,2,4,Kunigamae,ズ、ト、はか-る,
1081,水,4,1,5,"Mizu, Sanzui, Shitamizu",スイ、みず,
1082,吹,7,7,3,"Kuchi, Kuchihen",スイ、ふ-く,
1083,垂,8,6,1,"Tsuchi, Tsuchihen",スイ、た-れる、た-らす,
1084,炊,8,7,1,"Hi, Hihen, Renga",スイ、た-く,かし
1085,帥,9,7,1,"Haba, Kinben",スイ,ソチ
1086,粋,10,7,1,"Kome, Komehen",スイ、いき,
1087,衰,10,7,1,"Koromo, Koromohen",スイ、おとろ-える,
1088,推,11,6,1,Tehen,スイ、お-す,
1089,酔,11,7,1,"Tori, Torihen",スイ、よ-う,
1090,遂,12,7,1,Shinnyoo,スイ、と-げる,つい
1091,睡,13,7,1,"Me, Mehen",スイ,ねむ
1092,穂,15,7,1,"Nogi, Nogihen",スイ、ほ,
1093,随,12,7,1,Kozatohen,ズイ,したが
1094,髄,19,7,1,"Hone, Honehen",ズイ,
1095,枢,8,7,1,"Ki, Kihen",スウ,とぼそ
1096,崇,11,7,1,"Yama, Yamahen",スウ,シュウ、たか、あが
1097,数,13,2,3,Nobun,スウ、[ス]、かず、かぞ-える,ジュ
1098,据,11,7,1,Tehen,す-える、す-わる,
1099,杉,7,7,1,"Ki, Kihen",すぎ,サン
1100,裾,13,7,0,"Koromo, Koromohen",すそ,
1101,寸,3,6,1,Sun,スン,
1102,瀬,19,7,1,"Mizu, Sanzui, Shitamizu",せ,
1103,是,9,7,1,"Nichi, Nichihen",ゼ,こ
1104,井,4,7,1,Ni,セイ、[ショウ]、い,
1105,世,5,3,4,Ichi,セイ、セ、よ,
1106,正,5,1,4,Tomeru,セイ、ショウ、ただ-しい、ただ-す、まさ,
1107,生,5,1,5,Umareru,セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま,な
1108,成,6,4,3,"Hokogamae, Hokozukuri",セイ、[ジョウ]、な-る、な-す,
1109,西,6,2,5,Nishi,セイ、サイ、にし,
1110,声,7,2,3,Samurai,セイ、[ショウ]、こえ、[こわ],
1111,制,8,5,3,"Katana, Rittoo",セイ,
1112,姓,8,7,2,"Onna, Onnahen",セイ、ショウ,
1113,征,8,7,1,Gyooninben,セイ,い、ゆ
1114,性,8,5,3,"Kokoro, Risshinben, Shitagokoro",セイ、ショウ,
1115,青,8,1,4,"Ao, Aohen",セイ、[ショウ]、あお、あお-い,
1116,斉,8,7,1,Sei,セイ,ザイ、ひと
1117,政,9,5,3,Nobun,セイ、[ショウ]、まつりごと,ただ
1118,星,9,2,2,"Nichi, Nichihen",セイ、[ショウ]、ほし,
1119,牲,9,7,1,"Ushi, Ushihen",セイ,
1120,省,9,4,2,"Me, Mehen",セイ、ショウ、かえり-みる、はぶ-く,
1121,凄,10,7,0,Nisui,セイ,すさ、すご
1122,逝,10,7,1,Shinnyoo,セイ、ゆ-く、い-く,
1123,清,11,4,2,"Mizu, Sanzui, Shitamizu",セイ、[ショウ]、きよ-い、きよ-まる、きよ-める,シン、すず、す
1124,盛,11,6,1,Sara,セイ、[ジョウ]、も-る、さか-る、さか-ん,
1125,婿,12,7,1,"Onna, Onnahen",セイ、むこ,
1126,晴,12,2,3,"Nichi, Nichihen",セイ、は-れる、は-らす,
1127,勢,13,5,2,Chikara,セイ、いきお-い,セ、ゼ
1128,聖,13,6,1,"Mimi, Mimihen",セイ,ショウ、ひじり
1129,誠,13,6,1,"Gon, Gonben",セイ、まこと,ジョウ
1130,精,14,5,3,"Kome, Komehen",セイ、[ショウ],くわ
1131,製,14,5,1,"Koromo, Koromohen",セイ,
1132,誓,14,7,1,"Gon, Gonben",セイ、ちか-う,
1133,静,14,4,3,"Ao, Aohen",セイ、[ジョウ]、しず、しず-か、しず-まる、しず-める,
1134,請,15,7,1,"Gon, Gonben",セイ、[シン]、こ-う、う-ける,ショウ、ジョウ
1135,整,16,3,2,Nobun,セイ、ととの-える、ととの-う,
1136,醒,16,7,0,"Tori, Torihen",セイ,さ、ざ
1137,税,12,5,2,"Nogi, Nogihen",ゼイ,
1138,夕,3,1,4,Yuube,セキ、ゆう,
1139,斥,5,7,1,"Kin, Onozukuri",セキ,しりぞ
1140,石,5,1,3,"Ishi, Ishihen",セキ、[シャク]、[コク]、いし,
1141,赤,7,1,4,Aka,セキ、[シャク]、あか、あか-い、あか-らむ、あか-らめる,
1142,昔,8,3,3,"Nichi, Nichihen",セキ、[シャク]、むかし,
1143,析,8,7,1,"Ki, Kihen",セキ,
1144,席,10,4,3,"Haba, Kinben",セキ,し
1145,脊,10,7,0,"Niku, Nikuzuki",セキ,せ
1146,隻,10,7,1,Furutori,セキ,
1147,惜,11,7,1,"Kokoro, Risshinben, Shitagokoro",セキ、お-しい、お-しむ,シャク
1148,戚,11,7,0,"Hokogamae, Hokozukuri",セキ,
1149,責,11,5,3,"Kai, Kaihen",セキ、せ-める,シャク
1150,跡,13,7,1,"Ashi, Ashihen",セキ、あと,
1151,積,16,4,3,"Nogi, Nogihen",セキ、つ-む、つ-もる,シャク
1152,績,17,5,2,"Ito, Itohen",セキ,う
1153,籍,20,7,1,"Take, Takekanmuri",セキ,
1154,切,4,2,4,"Katana, Rittoo",セツ、[サイ]、き-る、き-れる,
1155,折,7,4,3,Tehen,セツ、お-る、おり、お-れる,
1156,拙,8,7,1,Tehen,セツ、つたな-い,
1157,窃,9,7,1,"Ana, Anakanmuri",セツ,
1158,接,11,5,2,Tehen,セツ、つ-ぐ,
1159,設,11,5,2,"Gon, Gonben",セツ、もう-ける,
1160,雪,11,2,3,"Ame, Amekanmuri",セツ、ゆき,そそ
1161,摂,13,7,1,Tehen,セツ,と
1162,節,13,4,2,"Take, Takekanmuri",セツ、[セチ]、ふし,
1163,説,14,4,3,"Gon, Gonben",セツ、[ゼイ]、と-く,
1164,舌,6,5,1,Shita,ゼツ、した,
1165,絶,12,5,3,"Ito, Itohen",ゼツ、た-える、た-やす、た-つ,
1166,千,3,1,5,Juu,セン、ち,
1167,川,3,1,5,Magarigawa,セン、かわ,
1168,仙,5,7,1,"Hito, Ninben, Hitoyane",セン,
1169,占,5,7,2,Uranai,セン、し-める、うらな-う,
1170,先,6,1,5,Hitoashi,セン、さき,ま
1171,宣,9,6,1,Ukanmuri,セン,のたま、の
1172,専,9,6,2,Sun,セン、もっぱ-ら,
1173,泉,9,6,2,"Mizu, Sanzui, Shitamizu",セン、いずみ,
1174,浅,9,4,2,"Mizu, Sanzui, Shitamizu",セン、あさ-い,
1175,洗,9,6,3,"Mizu, Sanzui, Shitamizu",セン、あら-う,
1176,染,9,6,1,"Ki, Kihen",セン、そ-める、そ-まる、し-みる、し-み,
1177,扇,10,7,1,"To, Tokanmuri",セン、おうぎ,
1178,栓,10,7,1,"Ki, Kihen",セン,
1179,旋,11,7,1,"Hoo, Hoohen",セン,つ
1180,船,11,2,3,"Fune, Funehen",セン、ふね、[ふな],
1181,戦,13,4,3,"Hokogamae, Hokozukuri",セン、いくさ、たたか-う,おのの
1182,煎,13,7,0,"Hi, Hihen, Renga",セン、い-る,
1183,羨,13,7,0,Hitsuji,セン、うらや-む、うらや-ましい,
1184,腺,13,7,0,"Niku, Nikuzuki",セン,
1185,詮,13,7,0,"Gon, Gonben",セン,
1186,践,13,7,1,"Ashi, Ashihen",セン,ふ
1187,箋,14,7,0,Kusakanmuri,セン,
1188,銭,14,5,1,"Kane, Kanehen",セン、ぜに,
1189,潜,15,7,1,"Mizu, Sanzui, Shitamizu",セン、ひそ-む、もぐ-る,くぐ
1190,線,15,2,2,"Ito, Itohen",セン,
1191,遷,15,7,1,Shinnyoo,セン,うつ
1192,選,15,4,3,Shinnyoo,セン、えら-ぶ,
1193,薦,16,7,1,Kusakanmuri,セン、すす-める,
1194,繊,17,7,1,"Ito, Itohen",セン,
1195,鮮,17,7,1,"Uo, Uohen",セン、あざ-やか,
1196,全,6,3,3,"Hito, Ninben, Hitoyane",ゼン、まった-く、すべ-て,まっと
1197,前,9,2,5,"Katana, Rittoo",ゼン、まえ,セン、さき、ざき
1198,善,12,6,2,"Kuchi, Kuchihen",ゼン、よ-い,
1199,然,12,4,3,"Hi, Hihen, Renga",ゼン、ネン,しか
1200,禅,13,7,1,"Shimesu, Shimesuhen",ゼン,
1201,漸,14,7,1,"Mizu, Sanzui, Shitamizu",ゼン,ようや
1202,膳,16,7,0,"Niku, Nikuzuki",ゼン,
1203,繕,18,7,1,"Ito, Itohen",ゼン、つくろ-う,
1204,狙,8,7,1,"Inu, Kemonohen",ソ、ねら-う,
1205,阻,8,7,1,Kozatohen,ソ、はば-む,
1206,祖,9,5,3,"Shimesu, Shimesuhen",ソ,
1207,租,10,7,1,"Nogi, Nogihen",ソ,
1208,素,10,5,1,"Ito, Itohen",ソ、ス,もと、しろ
1209,措,11,7,1,Tehen,ソ,お
1210,粗,11,7,1,"Kome, Komehen",ソ、あら-い,ほぼ
1211,組,11,2,3,"Ito, Itohen",ソ、く-む、くみ,
1212,疎,12,7,1,Hiki,ソ、うと-い、うと-む,まば
1213,訴,12,7,1,"Gon, Gonben",ソ、うった-える,
1214,塑,13,7,1,"Tsuchi, Tsuchihen",ソ,
1215,遡,14,7,0,Shinnyoo,ソ、さかのぼ-る,
1216,礎,18,7,1,"Ishi, Ishihen",ソ、いしずえ,
1217,双,4,7,2,Mata,ソウ、ふた,
1218,壮,6,7,1,Samurai,ソウ,
1219,早,6,1,4,"Nichi, Nichihen",ソウ、[サッ]、はや-い、はや-まる、はや-める,さ
1220,争,6,4,3,Ku,ソウ、あらそ-う,
1221,走,7,2,4,"Hashiru, Soonyoo",ソウ、はし-る,
1222,奏,9,6,1,Dai,ソウ、かな-でる,
1223,相,9,3,3,"Me, Mehen",ソウ、ショウ、あい,
1224,荘,9,7,1,Kusakanmuri,ソウ,ショウ、ジョウ
1225,草,9,1,3,Kusakanmuri,ソウ、くさ,
1226,送,9,3,4,Shinnyoo,ソウ、おく-る,
1227,倉,10,4,1,"Hito, Ninben, Hitoyane",ソウ、くら,
1228,捜,10,7,2,Tehen,ソウ、さが-す,
1229,挿,10,7,1,Tehen,ソウ、さ-す,
1230,桑,10,7,1,"Ki, Kihen",ソウ、くわ,
1231,巣,11,4,1,Tsukanmuri,ソウ、す,
1232,掃,11,7,2,Tehen,ソウ、は-く,
1233,曹,11,7,1,Hirabi,ソウ,
1234,曽,11,7,0,Hirabi,ソウ、[ゾ],ソ
1235,爽,11,7,1,"Meme, Kou",ソウ、さわ-やか,
1236,窓,11,6,3,"Ana, Anakanmuri",ソウ、まど,
1237,創,12,6,1,"Katana, Rittoo",ソウ、つく-る,はじ
1238,喪,12,7,1,"Kuchi, Kuchihen",ソウ、も,うしな
1239,痩,12,7,0,Yamaidare,ソウ、や-せる,
1240,葬,12,7,1,Kusakanmuri,ソウ、ほうむ-る,
1241,装,12,6,2,"Koromo, Koromohen",ソウ、ショウ、よそお-う,
1242,僧,13,7,1,"Hito, Ninben, Hitoyane",ソウ,
1243,想,13,3,3,"Kokoro, Risshinben, Shitagokoro",ソウ、[ソ],おも
1244,層,14,6,2,Shikabane,ソウ,
1245,総,14,5,2,"Ito, Itohen",ソウ,ス、ふさ、すべ
1246,遭,14,7,1,Shinnyoo,ソウ、あ-う,
1247,槽,15,7,1,"Ki, Kihen",ソウ,
1248,踪,15,7,0,"Ashi, Ashihen",ソウ,
1249,操,16,6,2,Tehen,ソウ、みさお、あやつ-る,
1250,燥,17,7,2,"Hi, Hihen, Renga",ソウ,
1251,霜,17,7,1,"Ame, Amekanmuri",ソウ、しも,
1252,騒,18,7,1,"Uma, Umahen",ソウ、さわ-ぐ,
1253,藻,19,7,1,Kusakanmuri,ソウ、も,
1254,造,10,5,2,Shinnyoo,ゾウ、つく-る,な
1255,像,14,5,2,"Hito, Ninben, Hitoyane",ゾウ,かた
1256,増,14,5,3,"Tsuchi, Tsuchihen",ゾウ、ま-す、ふ-える、ふ-やす,
1257,憎,14,7,2,"Kokoro, Risshinben, Shitagokoro",ゾウ、にく-む、にく-い、にく-らしい、にく-しみ,
1258,蔵,15,6,2,Kusakanmuri,ゾウ、くら,
1259,贈,18,7,2,"Kai, Kaihen",ゾウ、[ソウ]、おく-る,
1260,臓,19,6,2,"Niku, Nikuzuki",ゾウ,
1261,即,7,7,1,"Fushizukuri, Warifu",ソク,すなわ、つ
1262,束,7,4,3,"Ki, Kihen",ソク、たば,つか、づか
1263,足,7,1,4,"Ashi, Ashihen",ソク、あし、た-りる、た-る、た-す,ス
1264,促,9,7,1,"Hito, Ninben, Hitoyane",ソク、うなが-す,
1265,則,9,5,2,"Katana, Rittoo",ソク,のっと、すなわ、のり
1266,息,10,3,3,"Kokoro, Risshinben, Shitagokoro",ソク、いき,むすこ、やす
1267,捉,10,7,0,Tehen,ソク、とら-える,
1268,速,10,3,3,Shinnyoo,ソク、はや-い、はや-める、はや-まる、すみ-やか,
1269,側,11,4,3,"Hito, Ninben, Hitoyane",ソク、がわ,そば
1270,測,12,5,2,"Mizu, Sanzui, Shitamizu",ソク、はか-る,
1271,俗,9,7,1,"Hito, Ninben, Hitoyane",ゾク,
1272,族,11,3,4,"Hoo, Hoohen",ゾク,
1273,属,12,5,1,Shikabane,ゾク,ショク、つ
1274,賊,13,7,1,"Kai, Kaihen",ゾク,
1275,続,13,4,3,"Ito, Itohen",ゾク、つづ-く、つづ-ける,
1276,卒,8,4,2,Juu,ソツ,
1277,率,11,5,1,Gen,ソツ、リツ、ひき-いる,
1278,存,6,6,3,"Ko, Kohen",ソン、ゾン,
1279,村,7,1,3,"Ki, Kihen",ソン、むら,
1280,孫,10,4,2,"Ko, Kohen",ソン、まご,
1281,尊,12,6,2,Sun,ソン、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ,みこと
1282,損,13,5,2,Tehen,ソン、そこ-なう、そこ-ねる,
1283,遜,14,7,0,Shinnyoo,ソン,へりくだ
1284,他,5,3,3,"Hito, Ninben, Hitoyane",タ、ほか,
1285,多,6,2,4,Yuube,タ、おお-い,
1286,汰,7,7,1,"Mizu, Sanzui, Shitamizu",タ,
1287,打,5,3,3,Tehen,ダ、う-つ,チョウ
1288,妥,7,7,1,"Onna, Onnahen",ダ,
1289,唾,11,7,0,"Kuchi, Kuchihen",ダ、つば,
1290,堕,12,7,1,"Tsuchi, Tsuchihen",ダ,お
1291,惰,12,7,1,"Kokoro, Risshinben, Shitagokoro",ダ,
1292,駄,14,7,1,"Uma, Umahen",ダ,タ
1293,太,4,2,3,Dai,タイ、タ、ふと-い、ふと-る,
1294,対,7,3,3,Sun,タイ、ツイ,
1295,体,7,2,4,"Hito, Ninben, Hitoyane",タイ、テイ、からだ,
1296,耐,9,7,1,Shikashite,タイ、た-える,
1297,待,9,3,4,Gyooninben,タイ、ま-つ,
1298,怠,9,7,1,"Kokoro, Risshinben, Shitagokoro",タイ、おこた-る、なま-ける,
1299,胎,9,7,1,"Niku, Nikuzuki",タイ,
1300,退,9,5,3,Shinnyoo,タイ、しりぞ-く、しりぞ-ける,び
1301,帯,10,4,2,"Haba, Kinben",タイ、お-びる、おび,
1302,泰,10,7,1,"Mizu, Sanzui, Shitamizu",タイ,やす
1303,堆,11,7,0,"Tsuchi, Tsuchihen",タイ,ツイ、うずたか
1304,袋,11,7,2,"Koromo, Koromohen",タイ、ふくろ,
1305,逮,11,7,1,Shinnyoo,タイ,
1306,替,12,7,2,Hirabi,タイ、か-える、か-わる,
1307,貸,12,5,4,"Kai, Kaihen",タイ、か-す,
1308,隊,12,4,1,Kozatohen,タイ,
1309,滞,13,7,1,"Mizu, Sanzui, Shitamizu",タイ、とどこお-る,
1310,態,14,5,1,"Kokoro, Risshinben, Shitagokoro",タイ,わざ
1311,戴,17,7,0,"Hokogamae, Hokozukuri",タイ,いただ
1312,大,3,1,5,Dai,ダイ、タイ、おお、おお-きい、おお-いに,ダ
1313,代,5,3,4,"Hito, Ninben, Hitoyane",ダイ、タイ、か-わる、か-える、よ、しろ,
1314,台,5,2,4,"Kuchi, Kuchihen",ダイ、タイ,うてな
1315,第,11,3,1,"Take, Takekanmuri",ダイ,
1316,題,18,3,4,Oogai,ダイ,
1317,滝,13,7,1,"Mizu, Sanzui, Shitamizu",たき,
1318,宅,6,6,3,Ukanmuri,タク,
1319,択,7,7,1,Tehen,タク,えら
1320,沢,7,7,1,"Mizu, Sanzui, Shitamizu",タク、さわ,
1321,卓,8,7,1,Juu,タク,
1322,拓,8,7,1,Tehen,タク,ひら
1323,託,10,7,1,"Gon, Gonben",タク,かこつ
1324,濯,17,7,2,"Mizu, Sanzui, Shitamizu",タク,あら
1325,諾,15,7,1,"Gon, Gonben",ダク,
1326,濁,16,7,1,"Mizu, Sanzui, Shitamizu",ダク、にご-る、にご-す,ジョク
1327,但,7,7,1,"Hito, Ninben, Hitoyane",ただ-し,タン、た
1328,達,12,4,3,Shinnyoo,タツ,ダチ、ダッ
1329,脱,11,7,1,"Niku, Nikuzuki",ダツ、ぬ-ぐ、ぬ-げる,
1330,奪,14,7,1,Dai,ダツ、うば-う,
1331,棚,12,7,1,"Ki, Kihen",たな,
1332,誰,15,7,0,"Gon, Gonben",だれ,スイ
1333,丹,4,7,1,Ten,タン,に
1334,旦,5,7,1,"Nichi, Nichihen",タン、ダン,
1335,担,8,6,2,Tehen,タン、かつ-ぐ、にな-う,
1336,単,9,4,3,Tsukanmuri,タン,ひとえ
1337,炭,9,3,2,"Hi, Hihen, Renga",タン、すみ,
1338,胆,9,7,1,"Niku, Nikuzuki",タン,きも、ぎも
1339,探,11,6,3,Tehen,タン、さぐ-る、さが-す,
1340,淡,11,7,1,"Mizu, Sanzui, Shitamizu",タン、あわ-い,
1341,短,12,3,3,"Ya, Yahen",タン、みじか-い,
1342,嘆,13,7,1,"Kuchi, Kuchihen",タン、なげ-く、なげ-かわしい,
1343,端,14,7,1,Tatsu,タン、はし、は、はた,ただ
1344,綻,14,7,0,"Ito, Itohen",タン、ほころ-びる,
1345,誕,15,6,1,"Gon, Gonben",タン,
1346,鍛,17,7,1,"Kane, Kanehen",タン、きた-える,
1347,団,6,5,2,Kunigamae,ダン、[トン],
1348,男,7,1,5,"Ta, Tahen",ダン、ナン、おとこ,
1349,段,9,6,3,Rumata,ダン,タン
1350,断,11,5,3,"Kin, Onozukuri",ダン、た-つ、ことわ-る,
1351,弾,12,7,1,"Yumi, Yumihen",ダン、ひ-く、はず-む、たま,はじ
1352,暖,13,6,1,"Nichi, Nichihen",ダン、あたた-か、あたた-かい、あたた-まる、あたた-める,ノン
1353,談,15,3,3,"Gon, Gonben",ダン,
1354,壇,16,7,1,"Tsuchi, Tsuchihen",ダン、[タン],
1355,地,6,2,4,"Tsuchi, Tsuchihen",チ、ジ,
1356,池,6,2,3,"Mizu, Sanzui, Shitamizu",チ、いけ,
1357,知,8,2,4,"Ya, Yahen",チ、し-る,
1358,値,10,6,3,"Hito, Ninben, Hitoyane",チ、ね、あたい,ジ
1359,恥,10,7,3,"Kokoro, Risshinben, Shitagokoro",チ、は-じる、はじ、は-じらう、は-ずかしい,
1360,致,10,7,1,Itaru,チ、いた-す,
1361,遅,12,7,3,Shinnyoo,チ、おく-れる、おく-らす、おそ-い,
1362,痴,13,7,1,Yamaidare,チ,
1363,稚,13,7,1,"Nogi, Nogihen",チ,いと、わか
1364,置,13,4,3,Amigashira,チ、お-く,
1365,緻,16,7,0,"Ito, Itohen",チ,
1366,竹,6,1,2,"Take, Takekanmuri",チク、たけ,
1367,畜,10,7,2,"Ta, Tahen",チク,
1368,逐,10,7,1,Shinnyoo,チク,お
1369,蓄,13,7,1,Kusakanmuri,チク、たくわ-える,
1370,築,16,5,2,"Take, Takekanmuri",チク、きず-く,
1371,秩,10,7,1,"Nogi, Nogihen",チツ,
1372,窒,11,7,1,"Ana, Anakanmuri",チツ,
1373,茶,9,2,4,Kusakanmuri,チャ、サ,タ
1374,着,12,3,4,Hitsuji,チャク、[ジャク]、き-る、き-せる、つ-く、つ-ける,
1375,嫡,14,7,1,"Onna, Onnahen",チャク,
1376,中,4,1,5,Boo,チュウ、[ジュウ]、なか,うち、あ
1377,仲,6,4,2,"Hito, Ninben, Hitoyane",チュウ、なか,
1378,虫,6,1,2,"Mushi, Mushihen",チュウ、むし,
1379,沖,7,7,1,"Mizu, Sanzui, Shitamizu",チュウ、おき,
1380,宙,8,6,1,Ukanmuri,チュウ,
1381,忠,8,6,1,"Kokoro, Risshinben, Shitagokoro",チュウ,
1382,抽,8,7,1,Tehen,チュウ,ひ
1383,注,8,3,4,"Mizu, Sanzui, Shitamizu",チュウ、そそ-ぐ,つ
1384,昼,9,2,4,"Nichi, Nichihen",チュウ、ひる,
1385,柱,9,3,2,"Ki, Kihen",チュウ、はしら,
1386,衷,10,7,1,"Koromo, Koromohen",チュウ,
1387,酎,10,7,0,"Tori, Torihen",チュウ,
1388,鋳,15,7,1,"Kane, Kanehen",チュウ、い-る,ス
1389,駐,15,7,2,"Uma, Umahen",チュウ,
1390,著,11,6,2,Kusakanmuri,チョ、あらわ-す、いちじる-しい,
1391,貯,12,4,2,"Kai, Kaihen",チョ,たくわ
1392,丁,2,3,1,Ichi,チョウ、テイ,ひのと
1393,弔,4,7,1,"Yumi, Yumihen",チョウ、とむら-う,
1394,庁,5,6,2,Madare,チョウ,
1395,兆,6,4,2,Hitoashi,チョウ、きざ-す、きざ-し,
1396,町,7,1,4,"Ta, Tahen",チョウ、まち,
1397,長,8,2,5,Nagai,チョウ、なが-い,たけ、おさ、まさ、た
1398,挑,9,7,1,Tehen,チョウ、いど-む,
1399,帳,11,3,1,"Haba, Kinben",チョウ,とばり
1400,張,11,5,2,"Yumi, Yumihen",チョウ、は-る,
1401,彫,11,7,1,Sanzukuri,チョウ、ほ-る,え
1402,眺,11,7,1,"Me, Mehen",チョウ、なが-める,
1403,釣,11,7,1,"Kane, Kanehen",チョウ、つ-る,
1404,頂,11,6,3,Oogai,チョウ、いただ-く、いただき,
1405,鳥,11,2,4,Tori,チョウ、とり,
1406,朝,12,2,4,"Tsuki, Tsukihen",チョウ、あさ,
1407,貼,12,7,0,"Kai, Kaihen",チョウ、は-る,
1408,超,12,7,2,"Hashiru, Soonyoo",チョウ、こ-える、こ-す,
1409,腸,13,4,1,"Niku, Nikuzuki",チョウ,はらわた
1410,跳,13,7,1,"Ashi, Ashihen",チョウ、は-ねる、と-ぶ,
1411,徴,14,7,1,Gyooninben,チョウ,
1412,嘲,15,7,0,"Kuchi, Kuchihen",チョウ、あざけ-る,
1413,潮,15,6,1,"Mizu, Sanzui, Shitamizu",チョウ、しお,うしお
1414,澄,15,7,1,"Mizu, Sanzui, Shitamizu",チョウ、す-む、す-ます,
1415,調,15,3,3,"Gon, Gonben",チョウ、しら-べる、ととの-う、ととの-える,つき
1416,聴,17,7,1,"Mimi, Mimihen",チョウ、き-く,
1417,懲,18,7,1,"Kokoro, Risshinben, Shitagokoro",チョウ、こ-りる、こ-らす、こ-らしめる,
1418,直,8,2,3,"Me, Mehen",チョク、ジキ、ただ-ちに、なお-す、なお-る,た、だ
1419,勅,9,7,1,Chikara,チョク,みことのり
1420,捗,10,7,0,Tehen,チョク,はかど
1421,沈,7,7,2,"Mizu, Sanzui, Shitamizu",チン、しず-む、しず-める,ジン
1422,珍,9,7,2,"Tama, Oo",チン、めずら-しい,
