id,Kanji,Strokes,Grade,JLPT-test,"Name of Radical","Reading within Joyo","Reading beyond Joyo"
1780,雰,12,7,1,"Ame, Amekanmuri",フン,きり
1781,噴,15,7,1,"Kuchi, Kuchihen",フン、ふ-く,
1782,墳,15,7,1,"Tsuchi, Tsuchihen",フン,
1783,憤,15,7,1,"Kokoro, Risshinben, Shitagokoro",フン、いきどお-る,
1784,奮,16,6,1,Dai,フン、ふる-う,
1785,分,4,2,5,"Katana, Rittoo",ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ,
1786,文,4,1,4,Bun,ブン、モン、ふみ,あや、もじ
1787,聞,14,2,5,"Mimi, Mimihen",ブン、モン、き-く、き-こえる,
1788,丙,5,7,1,Ichi,ヘイ,ひのえ
1789,平,5,3,3,Ichijuu,ヘイ、ビョウ、たい-ら、ひら,ヒョウ、ピョウ
1790,兵,7,4,2,Hachi,ヘイ、ヒョウ,つわもの
1791,併,8,7,1,"Hito, Ninben, Hitoyane",ヘイ、あわ-せる,しか
1792,並,8,6,2,Ni,ヘイ、なみ、なら-べる、なら-ぶ、なら-びに,な
1793,柄,9,7,1,"Ki, Kihen",ヘイ、がら、え,
1794,陛,10,6,1,Kozatohen,ヘイ,
1795,閉,11,6,3,Mongamae,ヘイ、と-じる、と-ざす、し-める、し-まる,
1796,塀,12,7,1,"Tsuchi, Tsuchihen",ヘイ,
1797,幣,15,7,1,"Haba, Kinben",ヘイ,ぬさ
1798,弊,15,7,1,"Komanuki, Nijuuashi",ヘイ,
1799,蔽,15,7,0,Kusakanmuri,ヘイ,おお
1800,餅,15,7,0,"Shoku, Shokuhen",ヘイ、もち,
1801,米,6,2,3,"Kome, Komehen",ベイ、マイ、こめ,よね
1802,壁,16,7,2,"Tsuchi, Tsuchihen",ヘキ、かべ,
1803,璧,18,7,0,"Tama, Oo",ヘキ,
1804,癖,18,7,1,Yamaidare,ヘキ、くせ,
1805,別,7,4,4,"Katana, Rittoo",ベツ、わか-れる,
1806,蔑,14,7,0,Kusakanmuri,ベツ、さげす-む,
1807,片,4,6,2,Katahen,ヘン、かた,
1808,辺,5,4,2,Shinnyoo,ヘン、あた-り、べ,ふち、は、へ
1809,返,7,3,3,Shinnyoo,ヘン、かえ-す、かえ-る,
1810,変,9,4,3,Suinyoo,ヘン、か-わる、か-える,
1811,偏,11,7,1,"Hito, Ninben, Hitoyane",ヘン、かたよ-る,
1812,遍,12,7,1,Shinnyoo,ヘン,あまね
1813,編,15,5,2,"Ito, Itohen",ヘン、あ-む,
1814,弁,5,5,1,"Komanuki, Nijuuashi",ベン,わきま
1815,便,9,4,3,"Hito, Ninben, Hitoyane",ベン、ビン、たよ-り,
1816,勉,10,3,4,Chikara,ベン,つと
1817,歩,8,2,4,Tomeru,ホ、ブ、[フ]、ある-く、あゆ-む,
1818,保,9,5,2,"Hito, Ninben, Hitoyane",ホ、たも-つ,やす
1819,哺,10,7,0,"Kuchi, Kuchihen",ホ,
1820,捕,10,7,3,Tehen,ホ、と-らえる、と-らわれる、と-る、つか-まえる、つか-まる,
1821,補,12,6,2,"Koromo, Koromohen",ホ、おぎな-う,フ
1822,舗,15,7,1,"Hito, Ninben, Hitoyane",ホ,
1823,母,5,2,5,"Haha, Hahanokan",ボ、はは,モ
1824,募,12,7,2,Chikara,ボ、つの-る,
1825,墓,13,5,1,"Tsuchi, Tsuchihen",ボ、はか,
1826,慕,14,7,1,"Kokoro, Risshinben, Shitagokoro",ボ、した-う,
1827,暮,14,6,3,"Nichi, Nichihen",ボ、く-れる、く-らす,
1828,簿,19,7,1,"Take, Takekanmuri",ボ,
1829,方,4,2,4,"Hoo, Hoohen",ホウ、かた,まさ、あ
1830,包,5,4,2,Tsutsumigamae,ホウ、つつ-む,
1831,芳,7,7,1,Kusakanmuri,ホウ、かんば-しい,かお
1832,邦,7,7,1,Oozato,ホウ,くに
1833,奉,8,7,1,Dai,ホウ、[ブ]、たてまつ-る,
1834,宝,8,6,2,Ukanmuri,ホウ、たから,ホ、ボ
1835,抱,8,7,3,Tehen,ホウ、だ-く、いだ-く、かか-える,
1836,放,8,3,3,Nobun,ホウ、はな-す、はな-つ、はな-れる、ほう-る,いた
1837,法,8,4,3,"Mizu, Sanzui, Shitamizu",ホウ、[ハッ]、[ホッ],のっと、のり
1838,泡,8,7,1,"Mizu, Sanzui, Shitamizu",ホウ、あわ,
1839,胞,9,7,1,"Niku, Nikuzuki",ホウ,
1840,俸,10,7,1,"Hito, Ninben, Hitoyane",ホウ,
1841,倣,10,7,1,"Hito, Ninben, Hitoyane",ホウ、なら-う,
1842,峰,10,7,1,"Yama, Yamahen",ホウ、みね,ブ、プ
1843,砲,10,7,1,"Ishi, Ishihen",ホウ,
1844,崩,11,7,1,"Yama, Yamahen",ホウ、くず-れる、くず-す,
1845,訪,11,6,3,"Gon, Gonben",ホウ、おとず-れる、たず-ねる,と
1846,報,12,5,3,"Tsuchi, Tsuchihen",ホウ、むく-いる,し
1847,蜂,13,7,0,"Mushi, Mushihen",ホウ、はち,
1848,豊,13,5,2,Mame,ホウ、ゆた-か,ブ
1849,飽,13,7,1,"Shoku, Shokuhen",ホウ、あ-きる、あ-かす,
1850,褒,15,7,1,"Koromo, Koromohen",ホウ、ほ-める,
1851,縫,16,7,1,"Ito, Itohen",ホウ、ぬ-う,
1852,亡,3,6,3,Nabebuta,ボウ、[モウ]、な-い,ほろ
1853,乏,4,7,1,No,ボウ、とぼ-しい,
1854,忙,6,7,3,"Kokoro, Risshinben, Shitagokoro",ボウ、いそが-しい,
1855,坊,7,7,0,"Tsuchi, Tsuchihen",ボウ、[ボッ],
1856,妨,7,7,1,"Onna, Onnahen",ボウ、さまた-げる,
1857,忘,7,6,3,"Kokoro, Risshinben, Shitagokoro",ボウ、わす-れる,
1858,防,7,5,2,Kozatohen,ボウ、ふせ-ぐ,ホウ
1859,房,8,7,1,"To, Tokanmuri",ボウ、ふさ,ホウ
1860,肪,8,7,1,"Niku, Nikuzuki",ボウ,
1861,某,9,7,1,"Ki, Kihen",ボウ,
1862,冒,9,7,1,Hirabi,ボウ、おか-す,
1863,剖,10,7,1,"Katana, Rittoo",ボウ,
1864,紡,10,7,1,"Ito, Itohen",ボウ、つむ-ぐ,
1865,望,11,4,3,"Tsuki, Tsukihen",ボウ、モウ、のぞ-む,もち
1866,傍,12,7,1,"Hito, Ninben, Hitoyane",ボウ、かたわ-ら,ホウ
1867,帽,12,7,2,"Haba, Kinben",ボウ,
1868,棒,12,6,2,"Ki, Kihen",ボウ,
1869,貿,12,5,2,"Kai, Kaihen",ボウ,
1870,貌,14,7,0,"Mujina, Mujinahen",ボウ,かたち
1871,暴,15,5,2,"Nichi, Nichihen",ボウ、[バク]、あば-く、あば-れる,
1872,膨,16,7,1,"Niku, Nikuzuki",ボウ、ふく-らむ、ふく-れる,
1873,謀,16,7,1,"Gon, Gonben",ボウ、[ム]、はか-る,
1874,頬,16,7,0,Oogai,ほお,キョウ、ほほ
1875,北,5,2,5,Hi,ホク、きた,
1876,木,4,1,5,"Ki, Kihen",ボク、モク、き、[こ],
1877,朴,6,7,1,"Ki, Kihen",ボク,ほお
1878,牧,8,4,1,"Ushi, Ushihen",ボク、まき,モク、か、が
1879,睦,13,7,1,"Me, Mehen",ボク,むつ
1880,僕,14,7,1,"Hito, Ninben, Hitoyane",ボク,
1881,墨,14,7,1,"Tsuchi, Tsuchihen",ボク、すみ,
1882,撲,15,7,1,Tehen,ボク,
1883,没,7,7,1,"Mizu, Sanzui, Shitamizu",ボツ,モツ、モッ
1884,勃,9,7,0,Chikara,ボツ,
1885,堀,11,7,1,"Tsuchi, Tsuchihen",ほり,ほ
1886,本,5,1,5,"Ki, Kihen",ホン、もと,
1887,奔,8,7,1,Dai,ホン,
1888,翻,18,7,1,Hane,ホン、ひるがえ-る、ひるがえ-す,
1889,凡,3,7,1,Tsukue,ボン、[ハン],
1890,盆,9,7,1,Sara,ボン,
1891,麻,11,7,1,Asa,マ、あさ,
1892,摩,15,7,1,Te,マ,す
1893,磨,16,7,2,"Ishi, Ishihen",マ、みが-く,
1894,魔,21,7,1,"Oni, Kinyoo",マ,
1895,毎,6,2,5,"Haha, Hahanokan",マイ,ごと
1896,妹,8,2,4,"Onna, Onnahen",マイ、いもうと,
1897,枚,8,6,2,"Ki, Kihen",マイ,
1898,昧,9,7,0,"Nichi, Nichihen",マイ,
1899,埋,10,7,2,"Tsuchi, Tsuchihen",マイ、う-める、う-まる、う-もれる,
1900,幕,13,6,1,"Haba, Kinben",マク、バク,
1901,膜,14,7,1,"Niku, Nikuzuki",マク,
1902,枕,8,7,0,"Ki, Kihen",まくら,チン
1903,又,2,7,1,Mata,また,
1904,末,5,4,3,"Ki, Kihen",マツ、バツ、すえ,
1905,抹,8,7,1,Tehen,マツ,
1906,万,3,2,5,Ichi,マン、バン,よろず
1907,満,12,4,3,"Mizu, Sanzui, Shitamizu",マン、み-ちる、み-たす,
1908,慢,14,7,1,"Kokoro, Risshinben, Shitagokoro",マン,
1909,漫,14,7,1,"Mizu, Sanzui, Shitamizu",マン,
1910,未,5,4,3,"Ki, Kihen",ミ,ひつじ、いま
1911,味,8,3,4,"Kuchi, Kuchihen",ミ、あじ、あじ-わう,
1912,魅,15,7,1,"Oni, Kinyoo",ミ,
1913,岬,8,7,1,"Yama, Yamahen",みさき,
1914,密,11,6,1,Ukanmuri,ミツ,ひそ
1915,蜜,14,7,0,"Mushi, Mushihen",ミツ,
1916,脈,10,4,1,"Niku, Nikuzuki",ミャク,
1917,妙,7,7,1,"Onna, Onnahen",ミョウ,たえ
1918,民,5,4,3,Uji,ミン、たみ,
1919,眠,10,7,3,"Me, Mehen",ミン、ねむ-る、ねむ-い,
1920,矛,5,7,1,Hoko,ム、ほこ,
1921,務,11,5,3,Chikara,ム、つと-める、つと-まる,
1922,無,12,4,2,"Hi, Hihen, Renga",ム、ブ、な-い,
1923,夢,13,5,3,Yuube,ム、ゆめ,
1924,霧,19,7,1,"Ame, Amekanmuri",ム、きり,
1925,娘,10,7,3,"Onna, Onnahen",むすめ,
1926,名,6,1,5,"Kuchi, Kuchihen",メイ、ミョウ、な,
1927,命,8,3,3,"Kuchi, Kuchihen",メイ、ミョウ、いのち,
1928,明,8,2,4,"Nichi, Nichihen",メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす,ミン
1929,迷,9,5,3,Shinnyoo,メイ、まよ-う,マイ
1930,冥,10,7,0,Wakanmuri,メイ、ミョウ,
1931,盟,13,6,1,Sara,メイ,
1932,銘,14,7,1,"Kane, Kanehen",メイ,
1933,鳴,14,2,3,Tori,メイ、な-く、な-る、な-らす,
1934,滅,13,7,1,"Mizu, Sanzui, Shitamizu",メツ、ほろ-びる、ほろ-ぼす,メチ
1935,免,8,7,1,Hitoashi,メン、まぬか-れる,
1936,面,9,3,3,Men,メン、おも、おもて、つら,
1937,綿,14,5,2,"Ito, Itohen",メン、わた,
1938,麺,16,7,0,Mugi,メン,
1939,茂,8,7,1,Kusakanmuri,モ、しげ-る,ム
1940,模,14,6,1,"Ki, Kihen",モ、ボ,
1941,毛,4,2,2,Ke,モウ、け,モ
1942,妄,6,7,1,"Onna, Onnahen",モウ、ボウ,
1943,盲,8,7,1,"Me, Mehen",モウ,
1944,耗,10,7,1,Sukihen,モウ、[コウ],
1945,猛,11,7,1,"Inu, Kemonohen",モウ,たけだけ、たけ
1946,網,14,7,1,"Ito, Itohen",モウ、あみ,
1947,目,5,1,4,"Me, Mehen",モク、[ボク]、め、[ま],
1948,黙,15,7,1,Kuro,モク、だま-る,もだ
1949,門,8,2,3,Mongamae,モン、かど,
1950,紋,10,7,1,"Ito, Itohen",モン,
1951,問,11,3,4,"Kuchi, Kuchihen",モン、と-う、と-い、[とん],
1952,冶,7,7,1,Nisui,ヤ,
1953,夜,8,2,4,Yuube,ヤ、よ、よる,
1954,野,11,2,4,"Sato, Satohen",ヤ、の,
1955,弥,8,7,1,"Yumi, Yumihen",や,ビ、ミ、わた
1956,厄,4,7,1,Gandare,ヤク,
1957,役,7,3,3,Gyooninben,ヤク、エキ,
1958,約,9,4,3,"Ito, Itohen",ヤク,
1959,訳,11,6,1,"Gon, Gonben",ヤク、わけ,
1960,薬,16,3,3,Kusakanmuri,ヤク、くすり,
1961,躍,21,7,1,"Ashi, Ashihen",ヤク、おど-る,
1962,闇,17,7,0,Mongamae,やみ,
1963,由,5,3,3,"Ta, Tahen",ユ、ユウ、[ユイ]、よし,よ
1964,油,8,3,2,"Mizu, Sanzui, Shitamizu",ユ、あぶら,
1965,喩,12,7,0,"Kuchi, Kuchihen",ユ,たと
1966,愉,12,7,1,"Kokoro, Risshinben, Shitagokoro",ユ,たの
1967,諭,16,7,1,"Gon, Gonben",ユ、さと-す,
1968,輸,16,5,2,"Kuruma, Kurumahen",ユ,
1969,癒,18,7,1,Yamaidare,ユ、い-える、い-やす,
1970,唯,11,7,1,"Kuchi, Kuchihen",ユイ、[イ],た
1971,友,4,2,5,Mata,ユウ、とも,ウ
1972,有,6,3,4,"Tsuki, Tsukihen",ユウ、ウ、あ-る,ま
1973,勇,9,4,2,Chikara,ユウ、いさ-む,ユ
1974,幽,9,7,1,Itogashira,ユウ,かす
1975,悠,11,7,1,"Kokoro, Risshinben, Shitagokoro",ユウ,はる
1976,郵,11,6,2,Oozato,ユウ,
1977,湧,12,7,1,"Mizu, Sanzui, Shitamizu",ユウ、わ-く,
1978,猶,12,7,1,"Inu, Kemonohen",ユウ,なお
1979,裕,12,7,1,"Koromo, Koromohen",ユウ,ユ
1980,遊,12,3,3,Shinnyoo,ユウ、[ユ]、あそ-ぶ,
1981,雄,12,7,1,Furutori,ユウ、お、おす,ユ
1982,誘,14,7,1,"Gon, Gonben",ユウ、さそ-う,
1983,憂,15,7,1,"Kokoro, Risshinben, Shitagokoro",ユウ、うれ-える、うれ-い、う-い,
1984,融,16,7,1,"Mushi, Mushihen",ユウ,と、ど
1985,優,17,6,3,"Hito, Ninben, Hitoyane",ユウ、やさ-しい、すぐ-れる,ウ
1986,与,3,7,3,Ichi,ヨ、あた-える,あずか、くみ
1987,予,4,3,3,Haneboo,ヨ,あらかじ
1988,余,7,5,3,"Hito, Ninben, Hitoyane",ヨ、あま-る、あま-す,
1989,誉,13,7,1,"Gon, Gonben",ヨ、ほま-れ,ほ
1990,預,13,5,2,Oogai,ヨ、あず-ける、あず-かる,
1991,幼,5,6,2,Itogashira,ヨウ、おさな-い,
1992,用,5,2,4,Mochiiru,ヨウ、もち-いる,ユウ
1993,羊,6,3,1,Hitsuji,ヨウ、ひつじ,
1994,妖,7,7,0,"Onna, Onnahen",ヨウ、あや-しい,
1995,洋,9,3,4,"Mizu, Sanzui, Shitamizu",ヨウ,
1996,要,9,4,3,Nishi,ヨウ、かなめ、い-る,
1997,容,10,5,3,Ukanmuri,ヨウ,い
1998,庸,11,7,1,Madare,ヨウ,つね
1999,揚,12,7,1,Tehen,ヨウ、あ-げる、あ-がる,
2000,揺,12,7,1,Tehen,ヨウ、ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶる,
2001,葉,12,3,3,Kusakanmuri,ヨウ、は,
2002,陽,12,3,3,Kozatohen,ヨウ,あき、ひ、び
2003,溶,13,7,2,"Mizu, Sanzui, Shitamizu",ヨウ、と-ける、と-かす、と-く,
2004,腰,13,7,2,"Niku, Nikuzuki",ヨウ、こし,
2005,様,14,3,3,"Ki, Kihen",ヨウ、さま,
2006,瘍,14,7,0,Yamaidare,ヨウ,
2007,踊,14,7,2,"Ashi, Ashihen",ヨウ、おど-る、おど-り,
2008,窯,15,7,1,"Ana, Anakanmuri",ヨウ、かま,
2009,養,15,4,1,"Shoku, Shokuhen",ヨウ、やしな-う,
2010,擁,16,7,1,Tehen,ヨウ,
2011,謡,16,7,1,"Gon, Gonben",ヨウ、うたい、うた-う,
2012,曜,18,2,4,"Nichi, Nichihen",ヨウ,
2013,抑,7,7,1,Tehen,ヨク、おさ-える,そもそも
2014,沃,7,7,0,"Mizu, Sanzui, Shitamizu",ヨク,
2015,浴,10,4,2,"Mizu, Sanzui, Shitamizu",ヨク、あ-びる、あ-びせる,
2016,欲,11,6,3,Akubi,ヨク、ほっ-する、ほ-しい,
2017,翌,11,6,2,Hane,ヨク,
2018,翼,17,7,1,Hane,ヨク、つばさ,
2019,拉,8,7,0,Tehen,ラ,ひ
2020,裸,13,7,1,"Koromo, Koromohen",ラ、はだか,
2021,羅,19,7,1,Amigashira,ラ,
2022,来,7,2,5,"Ki, Kihen",ライ、く-る、きた-る、きた-す,き、ぎ
2023,雷,13,7,1,"Ame, Amekanmuri",ライ、かみなり,
2024,頼,16,7,3,Oogai,ライ、たの-む、たの-もしい、たよ-る,
2025,絡,12,7,2,"Ito, Itohen",ラク、から-む、から-まる、から-める,
2026,落,12,3,3,Kusakanmuri,ラク、お-ちる、お-とす,
2027,酪,13,7,1,"Tori, Torihen",ラク,
2028,辣,14,7,0,Karai,ラツ,
2029,乱,7,6,2,"Otsu, Otsunyoo",ラン、みだ-れる、みだ-す,
2030,卵,7,6,2,"Fushizukuri, Warifu",ラン、たまご,
2031,覧,17,6,1,Miru,ラン,
2032,濫,18,7,1,"Mizu, Sanzui, Shitamizu",ラン,
2033,藍,18,7,1,Kusakanmuri,ラン、あい,
2034,欄,20,7,1,"Ki, Kihen",ラン,
2035,吏,6,7,1,"Kuchi, Kuchihen",リ,
2036,利,7,4,3,"Katana, Rittoo",リ、き-く,と
2037,里,7,2,0,"Sato, Satohen",リ、さと,
2038,理,11,2,4,"Tama, Oo",リ,
2039,痢,12,7,1,Yamaidare,リ,
2040,裏,13,6,2,"Koromo, Koromohen",リ、うら,
2041,履,15,7,1,Shikabane,リ、は-く,くつ
2042,璃,15,7,1,"Tama, Oo",リ,
2043,離,19,7,1,Furutori,リ、はな-れる、はな-す,
2044,陸,11,4,2,Kozatohen,リク,ロク、おか、くが
2045,立,5,1,4,Tatsu,リツ、[リュウ]、た-つ、た-てる,
2046,律,9,6,2,Gyooninben,リツ、[リチ],
2047,慄,13,7,0,"Kokoro, Risshinben, Shitagokoro",リツ,
2048,略,11,5,2,"Ta, Tahen",リャク,ほぼ
2049,柳,9,7,1,"Ki, Kihen",リュウ、やなぎ,
2050,流,10,3,3,"Mizu, Sanzui, Shitamizu",リュウ、[ル]、なが-れる、なが-す,
2051,留,10,5,3,"Ta, Tahen",リュウ、[ル]、と-める、と-まる,
2052,竜,10,7,1,Ryuu,リュウ、たつ,リョウ
2053,粒,11,7,2,"Kome, Komehen",リュウ、つぶ,
2054,隆,11,7,1,Kozatohen,リュウ,ル、たか
2055,硫,12,7,1,"Ishi, Ishihen",リュウ,いおう
2056,侶,9,7,0,"Hito, Ninben, Hitoyane",リョ,
2057,旅,10,3,4,"Hoo, Hoohen",リョ、たび,
2058,虜,13,7,1,Toragashira,リョ,とりこ
2059,慮,15,7,1,"Kokoro, Risshinben, Shitagokoro",リョ,
2060,了,2,7,2,Haneboo,リョウ,
2061,両,6,3,3,Ichi,リョウ,
2062,良,7,4,3,Kon,リョウ、よ-い,ロウ
2063,料,10,4,4,Tomasu,リョウ,
2064,涼,11,7,2,"Mizu, Sanzui, Shitamizu",リョウ、すず-しい、すず-む,
2065,猟,11,7,1,"Inu, Kemonohen",リョウ,かり
2066,陵,11,7,1,Kozatohen,リョウ、みささぎ,
2067,量,12,4,2,"Sato, Satohen",リョウ、はか-る,
2068,僚,14,7,1,"Hito, Ninben, Hitoyane",リョウ,
2069,領,14,5,2,Oogai,リョウ,
2070,寮,15,7,1,Ukanmuri,リョウ,
2071,療,17,7,2,Yamaidare,リョウ,
2072,瞭,17,7,1,"Me, Mehen",リョウ,あき
2073,糧,18,7,1,"Kome, Komehen",リョウ、[ロウ]、かて,
2074,力,2,1,4,Chikara,リョク、リキ、ちから,つと
2075,緑,14,3,2,"Ito, Itohen",リョク、[ロク]、みどり,
2076,林,8,1,3,"Ki, Kihen",リン、はやし,
2077,厘,9,7,1,Gandare,リン,
2078,倫,10,7,1,"Hito, Ninben, Hitoyane",リン,
2079,輪,15,4,2,"Kuruma, Kurumahen",リン、わ,
2080,隣,16,7,1,Kozatohen,リン、とな-る、となり,
2081,臨,18,6,1,Shin,リン、のぞ-む,
2082,瑠,14,7,1,"Tama, Oo",ル,
2083,涙,10,7,2,"Mizu, Sanzui, Shitamizu",ルイ、なみだ,
2084,累,11,7,1,"Ito, Itohen",ルイ,
2085,塁,12,7,1,"Tsuchi, Tsuchihen",ルイ,
2086,類,18,4,3,Oogai,ルイ、たぐ-い,
2087,令,5,4,2,"Hito, Ninben, Hitoyane",レイ,リョウ
2088,礼,5,3,3,"Shimesu, Shimesuhen",レイ、ライ,あや
2089,冷,7,4,3,Nisui,レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます,
2090,励,7,7,1,Chikara,レイ、はげ-む、はげ-ます,
2091,戻,7,7,3,"To, Tokanmuri",レイ、もど-す、もど-る,
2092,例,8,4,3,"Hito, Ninben, Hitoyane",レイ、たと-える,
2093,鈴,13,7,1,"Kane, Kanehen",レイ、リン、すず,
2094,零,13,7,2,"Ame, Amekanmuri",レイ,
2095,霊,15,7,1,"Ame, Amekanmuri",レイ、リョウ、たま,
2096,隷,16,7,1,Reizukuri,レイ,
2097,齢,17,7,2,"Ha, Hahen",レイ,よわい
2098,麗,19,7,1,Shika,レイ、うるわ-しい,ライ
2099,暦,14,7,1,"Nichi, Nichihen",レキ、こよみ,リャク
2100,歴,14,4,2,Tomeru,レキ,へ
2101,列,6,3,3,"Katana, Rittoo",レツ,つら
2102,劣,6,7,1,Chikara,レツ、おと-る,
2103,烈,10,7,1,"Hi, Hihen, Renga",レツ,はげ
2104,裂,12,7,1,"Koromo, Koromohen",レツ、さ-く、さ-ける,
2105,恋,10,7,2,"Kokoro, Risshinben, Shitagokoro",レン、こ-う、こい、こい-しい,
2106,連,10,4,3,Shinnyoo,レン、つら-なる、つら-ねる、つ-れる,
2107,廉,13,7,1,Madare,レン,かど
2108,練,14,3,2,"Ito, Itohen",レン、ね-る,
2109,錬,16,7,1,"Kane, Kanehen",レン,ね
2110,呂,7,7,1,"Kuchi, Kuchihen",ロ,リョ
2111,炉,8,7,1,"Hi, Hihen, Renga",ロ,
2112,賂,13,7,0,"Kai, Kaihen",ロ,まいな
2113,路,13,3,3,"Ashi, Ashihen",ロ、じ,ル、みち
2114,露,21,7,1,"Ame, Amekanmuri",ロ、[ロウ]、つゆ,あらわ
2115,老,6,4,3,Oikanmuri,ロウ、お-いる、ふ-ける,
2116,労,7,4,3,Chikara,ロウ,いたわ、ねぎら
2117,弄,7,7,0,"Komanuki, Nijuuashi",ロウ、もてあそ-ぶ,
2118,郎,9,7,1,Oozato,ロウ,
2119,朗,10,6,1,"Tsuki, Tsukihen",ロウ、ほが-らか,
2120,浪,10,7,1,"Mizu, Sanzui, Shitamizu",ロウ,なみ
2121,廊,12,7,1,Madare,ロウ,
2122,楼,13,7,1,"Ki, Kihen",ロウ,
2123,漏,14,7,1,"Mizu, Sanzui, Shitamizu",ロウ、も-る、も-れる、も-らす,
2124,籠,22,7,0,"Take, Takekanmuri",ロウ、かご、こ-もる,
2125,六,4,1,5,Hachi,ロク、む、む-つ、むっ-つ、[むい],リク
2126,録,16,4,2,"Kane, Kanehen",ロク,
2127,麓,19,7,0,Shika,ロク、ふもと,
2128,論,15,6,3,"Gon, Gonben",ロン,
2129,和,8,3,3,"Kuchi, Kuchihen",ワ、[オ]、やわ-らぐ、やわ-らげる、なご-む、なご-やか,カ、あ
2130,話,13,2,5,"Gon, Gonben",ワ、はな-す、はなし,
2131,賄,13,7,1,"Kai, Kaihen",ワイ、まかな-う,
2132,脇,10,7,0,"Niku, Nikuzuki",わき,キョウ
2133,惑,12,7,1,"Kokoro, Risshinben, Shitagokoro",ワク、まど-う,
2134,枠,8,7,1,"Ki, Kihen",わく,
2135,湾,12,7,2,"Mizu, Sanzui, Shitamizu",ワン,ま
2136,腕,12,7,2,"Niku, Nikuzuki",ワン、うで,
